day,id,time,БВТ2101,БВТ2102,БВТ2103,БВТ2104,БВТ2105,БВТ2106,БВТ2107,БВТ2108
,,,,"История
Кунц Е.В.  пр
 (до 29.05.2022) Ауд. 318 ",,"Введение в информационные технологии 
Мкртчян Г.М.  лаб
Авиамоторная   Ауд. ЗФ-301","Иностранный язык 
Чупак Н.М.  пр
 (до 22.05.2022) ауд. 412",,,
,2,11:20-12:55,"Иностранный язык
Павлова А.Ю.  пр
 (до 15.05.2022) Ауд. 452","История 
Кунц Е.В.  пр
(до 29.05.2022) Ауд. 318","Микропроцессорные системы
Нехорошев Ю.И.  пр
(до 15.05.2022) Ауд.216а","Введение в информационные технологии
Мкртчян Г.М.  Пр
Ауд. ВЦ127","Элективные дисциплины по физической культуре
Горячева Н.Н.  Пр",,"Элективные дисциплины по физической культуре
Корнеев Р.А.  Пр",
,,,,"Высшая математика 
Фроловичев С.М.  пр
 (до 29.05.2022) Ауд. 302 ",,"Введение в информационные технологии 
Мкртчян Г.М.  лаб
Авиамоторная   Ауд. ЗФ-301","История
Кунц Е.В.   пр
(до 29.05.2022)  ауд.318",,"Элективные дисциплины по физической культуре
Корнеев Р.А.  Пр","Физика
Сирко И.В.  лаб
 (с 07.02 по 22.05.2022)  ауд. 340"
,3,13:10-14:45,"Элективные дисциплины по физической культуре
  Симкачёва Т.В.  1001  пр","Основы DevOps
Никишкин К.Д.,  пр
(до 22.05.2022)  Ауд.  ВЦ127 ","Микропроцессорные системы 
Нехорошев Ю.И.  лаб
(с 07.02 по 22.05.2022)  Ауд.216а","Иностранный язык
Павлова А.Ю.  пр
 (до 15.05.2022) Ауд. 308","Элективные дисциплины по физической культуре
Горячева Н.Н.  Пр","Микропроцессорные системы
Нехорошев Ю.И.  пр
(до 15.05.2022)  Ауд. ...ВЦ116","Высшая математика 
Гетманская И.В.  пр
(до 29.05.2022)  Ауд.301",
,,,,"Иностранный язык
Павлова А.Ю.  пр
(до 15.05.2022) Ауд. 452 ",,"Элективные дисциплины по физической культуре
  Горячева Н.Н.  Пр
Авиамоторная",,"Русский язык и культура речи
Бочарова Т.И.  пр
(до 29.05.2022)  ауд. 314 ","Высшая математика
Гетманская И.В.   пр
 (до 29.05.2022)  ауд. 218","Основы DevOps 
Никишкин К.Д.,  лаб
 (с 07.02 по 22.05.2022) ВЦ127 "
,4,15:25-17:00,"История
Кунц Е.В.  пр
 (с 23.05. по 29.05.2022) Ауд. 316","Микропроцессорные системы
Нехорошев Ю.И.  пр
(до 15.05.2022) Ауд.219","Введение в информационные технологии
Мкртчян Г.М.  Пр
Ауд.216а","Элективные дисциплины по физической культуре
Горячева Н.Н.  Пр
",,"Элективные дисциплины по физической культуре
Разинков Д.В.  Пр","Основы DevOps
Никишкин К.Д.,  пр
 (до 22.05.2022) Ауд.330а",
,,,,,,,,"Элективные дисциплины по физической культуре
Разинков Д.В.  Пр","Иностранный язык 
Павлова А.Ю.   пр
(до 22.05.2022) ауд. 301","Микропроцессорные системы
Нехорошев Ю.И.  лаб
(с 07.02 по 22.05.2022) ВЦ118"
,5,17:15-18:50,,,,,,"Высшая математика
Мейрманов А.М.  пр
 (до 29.05.2022)  Ауд. 522","Физика 
Латышев С.В.  пр
(до 15.05.2022)  Ауд.224",
,,,,,,,,"Высшая математика
Мейрманов А.М.  пр
 (до 29.05.2022)  ауд. 522",,"История
Кунц Е.В.  пр
 (с 23.05. по 29.05.2022) Ауд.318"
,,,,,,,,,,
ПТ,1,9:30-11:05,,"История
Кунц Е.В.  пр
 (с 23.05. по 29.05.2022) Ауд. 318","Физика 
Осичева Л.В.  пр
(до 15.05.2022) Ауд. 330А","Элективные дисциплины по физической культуре
Горячева Н.Н.  Пр","Основы DevOps 
Никишкин К.Д.,  лаб
 (с 07.02 по 22.05.2022) ауд. 308","Введение в информационные технологии  
Мкртчян Г.М.  лаб
Авиамоторная ауд. ЗФ-301","Введение в информационные технологии  
Мкртчян Г.М.  лаб
Авиамоторная ауд. ЗФ-302",
,,,"Введение в информационные технологии
Мкртчян Г.М.  лаб
 Авиамоторная   Ауд. ЗФ-301","Физика
Файзулаев В.Н.   лаб
 (с 07.02 по 22.05.2022) Ауд. 342","Введение в информационные технологии 
Мкртчян Г.М.  лаб
Авиамоторная Ауд. ЗФ-302  ",,,"История 
Кунц Е.В. пр
(с 23.05. по 29.05.2022)
Ауд.324 ",,
,2,11:20-12:55,,"Элективные дисциплины по физической культуре
Королёв И.В.  Пр","История
Кунц Е.В.  пр
(до 29.05.2022) Ауд.318","Микропроцессорные системы
Нехорошев Ю.И.  пр
(до 15.05.2022)  Ауд. 216","Микропроцессорные системы
Нехорошев Ю.И.  лаб
(с 07.02 по 22.05.2022)  Ауд.308","Введение в информационные технологии  
Мкртчян Г.М.  лаб
Авиамоторная ауд. ЗФ-301","Введение в информационные технологии 
Мкртчян Г.М.  лаб
Авиамоторная ауд. ЗФ-302",
,,,"Введение в информационные технологии 
Мкртчян Г.М.  лаб
 Авиамоторная  Ауд. ЗФ-301","Микропроцессорные системы
Нехорошев Ю.И.  лаб
(с 07.02 по 22.05.2022) Ауд. 328  ","Введение в информационные технологии 
Мкртчян Г.М.  лаб
Авиамоторная Ауд. ЗФ-302  ","Физика 
Александров И.И. лаб
(с 07.02 по 22.05.2022)  Ауд. 342  ","Физика 
Нескоромная А.В. лаб
(с 07.02 по 22.05.2022) ауд. 338  ","Основы DevOps 
Никишкин К.Д.,  лаб
(с 07.02 по 22.05.2022) ауд. 324  ",,
